CountyName,year,%WhiteDiabetes,%WhiteObesity,%BlackDiabetes,%BlackObesity,%AsianDiabetes,%AsianObesity,%NHOPIDiabetes,%NHOPIObesity,%AIANDiabetes,%AIANObesity,%OMultirDiabetes,%OMultirObesity,%HispanicDiabetes,%HispanicObesity
Pima,2018,9.751584423211769,28.681102873272213,9.809361481225126,30.24807348445521,8.898608682134391,27.887824025494538,9.57524630541872,29.75886699507389,13.728471093390585,35.508501763533204,11.05866851948648,32.085416693226584,11.12338268369136,32.056257932361675
Pinal,2018,11.76750964108333,37.33641553896321,10.608632006970666,38.26014522218995,10.139186691312384,37.433841651263094,10.59220447284345,40.89188498402556,16.354833166260917,44.95140102152847,12.27780172413793,39.33634072580645,12.462323677052076,39.35789188330202
Santa Cruz,2018,14.991339170374623,36.69313908425435,15.198882681564246,36.80446927374301,14.659999999999998,37.00156862745098,13.166666666666668,36.720000000000006,14.866158536585363,35.989634146341466,15.30875677506775,37.435916327913276,15.501655081098974,37.609461971328905
Yavapai,2018,10.72527013765483,27.661411558761905,10.691081294396211,27.92470402525651,10.368683473389355,26.881120448179267,10.520187793427231,27.557276995305163,10.899718230487462,28.54705550859397,10.731839021905246,28.4294701986755,10.696470342522975,28.37311681982735
Yuma,2018,12.115679462725105,37.174419970844426,10.838361740015264,36.77809717629102,10.238640275387263,35.475602409638554,10.841503267973858,36.15098039215686,12.706511780104712,38.70422120418848,12.502835056887655,39.178020019480655,12.480924113863418,39.342806555357875
Apache,2019,11.971474089214862,30.484687988457377,13.94,33.718857142857146,15.054679802955665,35.14187192118226,14.773076923076925,34.64230769230769,17.817316025616442,38.97623001112091,14.110275150472914,33.726612209802234,13.127498176513496,32.41198638463409
Cochise,2019,12.411267400688752,32.98721055439685,9.766843549862763,30.816779505946933,10.358455445544553,30.687049504950494,10.560765550239234,31.229425837320573,12.595028319697924,33.60855884203902,13.525087604029784,34.65235435830048,14.341673130714804,35.480212961004156
Coconino,2019,6.851592801957404,24.553313968204225,6.292265193370166,24.973848987108656,6.456392199349946,24.535590465872158,6.748780487804878,24.762804878048776,12.45980280002179,31.926420439069563,7.389163138455995,25.815854427529057,7.263569305295607,25.642761202245957
Gila,2019,13.526031290996551,29.358488411641805,13.46351931330472,29.873390557939917,13.138827838827838,29.164102564102564,13.197872340425532,28.98297872340426,17.384130380065443,38.914762144475205,14.245223577235771,30.610315040650406,14.178535669586983,30.694503546099288
Graham,2019,10.349830394751557,34.109706638834005,9.717423133235723,35.15827232796486,10.094999999999999,34.1005,9.103846153846154,34.18076923076923,15.024330357142853,43.41130952380952,10.603993140617344,34.49054385105341,10.650450530035336,34.71530918727915
Greenlee,2019,11.697850782929077,35.30911882100092,10.726966292134833,35.17640449438203,10.071739130434782,34.94130434782608,12.659999999999998,35.74,11.236923076923077,35.316923076923075,10.992128463476071,35.22311083123426,11.3409900990099,35.32287128712871
La Paz,2019,16.903467076751014,35.19997203970362,14.655038759689923,35.193023255813955,15.032710280373832,35.58504672897197,14.942857142857141,36.22857142857143,15.746993911719937,39.17359208523592,15.012711352657004,36.8866847826087,15.119766957969205,36.89523512276321
Maricopa,2019,9.251600919065735,29.675217485071283,9.542124601729034,31.98118638818756,8.045472216129545,28.775778455115454,9.081835686777922,30.95216944801027,10.873151363497088,33.466019814115,10.4987440986313,33.49159873589223,10.549117102718371,33.551205473068336
Mohave,2019,12.848328713235718,31.812002093421825,12.924867162592987,32.08097768331562,12.590822634331907,31.34755111745126,12.88357771260997,32.072434017595306,13.629199999999999,34.605044444444445,13.176884795789956,32.68472142775426,13.125540261760626,32.49632385268355
Navajo,2019,12.081512874726268,33.61392622517557,12.399893390191899,35.91268656716417,13.344482758620687,36.009827586206896,13.12266666666667,34.984,17.604365922207204,42.54585612838171,12.7930495775546,35.2582974653276,12.485446374557082,34.963780140005184
Pima,2019,9.264506806851722,29.169191946220312,9.32731441425852,30.652979177481686,8.437499514204655,28.36234503128522,9.067733990147783,30.164963054187194,12.749194908756326,35.900407912896796,10.539202437562945,32.41802100995678,10.597898182419229,32.38561519707675
Pinal,2019,10.757102417899144,33.80345424667204,9.735387743247168,34.7332442637235,9.259103512014788,33.954359211337035,9.676421725239617,37.418338658146965,14.368389899279203,40.74623132369087,11.250764738598443,35.67678844549499,11.402144386176468,35.66439795470055
Santa Cruz,2019,15.471660686091573,36.89527773790727,15.71564245810056,37.06648044692737,15.320784313725488,37.299215686274515,13.719999999999999,37.0,15.533231707317075,36.4155487804878,15.895604674796749,37.654022696476964,15.962322715351512,37.69272018944313
Yavapai,2019,10.903106384107367,27.443602896321252,10.790607734806631,27.577190213101815,10.550028011204482,26.678767507002803,10.650704225352113,27.267605633802816,11.09898562975486,28.352690898844745,10.846663270504331,28.100910596026495,10.815629351155668,28.05514828738513
Yuma,2019,12.906989360390481,36.480199592402144,11.493665733909946,35.934088018315954,10.918588640275386,34.871944922547335,11.52418300653595,35.36732026143791,13.451767015706807,37.83530759162304,13.353723084575053,38.38198039500134,13.323557034350625,38.525314766662106
Apache,2020,12.325237465432249,29.526385716003368,14.361142857142859,32.60171428571429,15.55911330049261,33.71477832512315,15.28076923076923,33.16923076923077,18.426596234229397,37.253480078229856,14.55219260533104,32.520163370593295,13.515730610260151,31.369073668854853
Cochise,2020,11.712295678323713,30.39828297036426,9.241061299176579,28.441372369624883,9.792277227722773,28.231089108910894,9.976794258373205,28.76244019138756,11.890937696664569,31.01774701069855,12.750662505475251,32.06499671484888,13.51207954305056,32.870820111416684
Coconino,2020,7.2296551641013895,25.07975942242096,6.650767341927563,25.59048496009822,6.825027085590466,25.079089924160346,7.123780487804877,25.312804878048777,13.042365310235876,32.0057580214632,7.781614268984777,26.358265021169263,7.652378068919961,26.195491577672573
Gila,2020,12.959598658957292,31.396822311841017,12.885836909871246,31.958369098712442,12.59047619047619,31.214285714285715,12.680851063829786,30.99148936170213,16.937087842939842,40.75966524037252,13.59258130081301,32.759552845528454,13.520421360033374,32.85489153108052
Graham,2020,10.346852052037127,31.29817720952771,9.70380673499268,32.44787701317716,10.094999999999999,31.3235,9.128846153846155,31.46730769230769,15.200130208333334,39.5604724702381,10.595320921117098,31.66925526702597,10.639840989399293,31.88969081272085
Greenlee,2020,11.329214000614062,32.57090881178999,10.387640449438202,32.5123595505618,9.763043478260869,32.302173913043475,12.239999999999998,32.98,10.876923076923077,32.62615384615385,10.644017632241813,32.54061712846348,10.978465346534652,32.62272277227723
La Paz,2020,16.46426674122746,33.75923388787921,14.273643410852713,33.889147286821704,14.643925233644861,34.27289719626168,14.55714285714286,34.91428571428571,15.43455098934551,37.84185692541857,14.66123188405797,35.57949879227053,14.764710778193923,35.58260507698709
Maricopa,2020,9.172563060174548,29.701349030032553,9.433884657578826,32.16790893964128,7.98960572392355,28.860710801182904,8.996867779204107,31.092695763799743,10.776424777857216,33.561218210601574,10.366710326872267,33.695783357416175,10.415565942871927,33.75470180123272
Mohave,2020,13.55223317498476,35.08489055544692,13.620935175345378,35.38746014877789,13.273941987636709,34.58231098430813,13.582404692082111,35.37888563049853,14.4158,37.824533333333335,13.888142089005836,36.05042329252946,13.83171903006527,35.84201359531942
Navajo,2020,11.479194668881673,30.65652042588537,11.797974413646054,32.93336886993604,12.730689655172412,32.82,12.509333333333334,31.881333333333334,16.938184119628414,38.69245242539316,12.182671767894151,32.1818268770923,11.881756114423991,31.943505315011667
Pima,2020,9.471180142462927,28.233706163010407,9.52413912441599,29.815665916825285,8.658101123158835,27.482429753993237,9.277155172413794,29.30979064039409,13.009105965342737,34.74019322189849,10.709717105011537,31.559526511046798,10.765187041398812,31.519941735881137
Pinal,2020,10.626788793182678,35.918203174113,9.63756026720883,37.040871333139705,9.174414664202093,36.22475354282194,9.693993610223641,40.047603833865814,14.318043820707432,42.843434054131464,11.12166122080089,37.947836137374864,11.264571823849986,37.916674612299836
Santa Cruz,2020,14.78535381082245,35.032797473805076,15.019553072625696,35.204469273743015,14.607450980392159,35.459607843137256,13.086666666666666,35.22,14.85487804878049,34.5314024390244,15.171536246612465,35.81542174796748,15.236933771293257,35.851646169123825
Yavapai,2020,10.22378431424555,27.77654191974114,10.122099447513811,27.946172059984214,9.888347338935574,26.99366946778711,9.987323943661972,27.623004694835686,10.419188503803888,28.733784164553395,10.180374426897606,28.501197147223635,10.149725006961848,28.45460874408243
Yuma,2020,13.312407075666696,37.91738165519542,11.872475197150852,37.45975578733147,11.291308089500859,36.31871772805508,11.917320261437908,36.84346405228759,13.874901832460731,39.34283376963351,13.741303131411517,39.953888877375505,13.706494628438481,40.11349476529355
Apache,2021,11.619652518937118,31.65599374774558,13.617142857142857,34.684000000000005,14.664532019704431,35.823152709359604,14.342307692307694,35.28461538461538,17.471026191663153,39.33815431222917,13.76414445399828,34.617884780739466,12.79132020423049,33.46343301726234
Cochise,2021,11.590322549352477,34.13309986904011,9.1099725526075,32.07410795974383,9.631485148514853,31.88419801980198,9.83732057416268,32.44401913875598,11.776274386406545,34.76362492133418,12.684472185720544,35.79895422689444,13.471541734245351,36.60425686952025
Coconino,2021,7.0447696071932215,23.90074246387118,6.5360957642725594,24.367833026396564,6.673889490790899,23.899458288190683,6.953048780487806,24.10487804878049,12.685400664596614,30.386863321893554,7.602549319881091,25.081353031258445,7.481636023340306,24.929555213035343
Gila,2021,12.345534716486078,34.875593994460914,12.291416309012876,35.423605150214584,11.982783882783883,34.66886446886447,12.070212765957447,34.47659574468086,16.274641328970553,44.25493329977348,12.992225609756098,36.20579268292683,12.924728827701292,36.3014497288277
Graham,2021,9.957259477392181,34.29618295001305,9.309516837481699,35.3592972181552,9.6775,34.262499999999996,8.753846153846155,34.39807692307693,14.714378720238097,42.642912946428574,10.196006859382656,34.65482606565409,10.232296819787987,34.86448763250883
Greenlee,2021,11.026619588578447,32.104866441510595,10.124719101123594,32.03595505617977,9.506521739130436,31.850000000000005,11.94,32.46,10.603076923076923,32.14,10.371725440806046,32.064798488664984,10.69920792079208,32.13945544554455
La Paz,2021,16.641178526492382,33.91426674122746,14.363565891472868,34.06201550387597,14.769158878504673,34.446728971962614,14.614285714285716,35.01428571428571,15.589535768645357,37.90433789954338,14.773822463768116,35.701117149758446,14.876279650436954,35.70193508114856
Maricopa,2021,9.083696451377108,30.30048454414347,9.421201400444069,32.667927836187935,7.926907281211946,29.473987460008928,8.962079589216945,31.651039794608472,10.780987641711775,34.03396614237565,10.382106503010624,34.147003054068925,10.431838876894059,34.203355550102025
Mohave,2021,13.127090258687124,35.55737413588838,13.20595111583422,35.84553666312434,12.834522111269614,35.06186400380409,13.17741935483871,35.854838709677416,13.981755555555555,38.223555555555556,13.5140887770278,36.49505205354079,13.445469917819336,36.28980351043323
Navajo,2021,11.62868307785245,34.60591822094691,11.950000000000001,36.856183368869935,12.874310344827588,36.76724137931034,12.668,35.83733333333333,17.085050739095923,42.67983952285941,12.342738721504862,36.1413040012753,12.033454325468846,35.886811857229276
Pima,2021,9.473748097772765,31.896929403870462,9.591901713099153,33.52222414489243,8.679029186584277,31.117951109556568,9.329371921182267,33.0323275862069,13.12291979757706,38.55351326483668,10.808383584696388,35.297625543415904,10.860045395245601,35.25339578869074
Pinal,2021,10.576238268023955,37.239946987827786,9.62893987801336,38.29865233807726,9.15283425754775,37.5059303758472,9.798722044728434,40.99865814696486,14.353277006062342,43.96538259582797,11.138506326473859,39.18662924082314,11.277294184731298,39.159916617590696
Santa Cruz,2021,14.408230228218747,35.83406631261663,14.637988826815644,35.997206703910614,14.27921568627451,36.24705882352941,12.773333333333333,36.04666666666667,14.450304878048781,35.34085365853659,14.81813177506775,36.582808265582656,14.878252234359483,36.617961449341784
